Name,B,G
1112603_Cs2HgAsF6,12.440999999999999,9.93188
31169_ScAlAg2,97.1483,24.096999999999998
1112556_CsK2GaF6,37.7321,16.1049
569823_YInAg2,76.3534,12.7547
977578_Zr2TcPd,160.08700000000002,44.3062
862629_ScRh2Pb,139.593,29.5958
972236_V2MoW,239.195,20.4085
10686_Li2CdGe,40.5422,9.37085
1113327_CsRb2YCl6,15.1935,6.39915
1111572_K2TlPdF6,47.5068,14.9556
24154_NbH2,184.11,60.2264
865028_AcTlTe2,41.388999999999996,19.3546
1112983_Cs3AsCl6,14.2388,7.1999699999999995
1114433_Rb2NaAlCl6,21.6335,12.0863
27691_K2PtBr6,12.6396,5.68127
1025460_MgZrF6,96.6239,43.9232
972957_ScTiRu2,180.697,86.0272
866062_HfSiRu2,231.19799999999998,106.904
862360_Sc2NiIr,117.119,53.2313
1111928_K2LiAsF6,51.7684,23.4725
22745_Co9Se8,51.5829,50.9987
755610_Ba6HfO8,73.5022,41.6955
4913_LiGa2Rh,106.04700000000001,24.8802
1113292_Cs2TlHgCl6,25.831,5.34852
862704_ScZn2Pt,148.483,48.648
3736_ZrAlCu2,138.739,44.3103
2154_CeP,81.6071,55.1776
560385_KRb2CoF6,46.0171,22.5901
1066388_K3Re,12.4622,6.94183
22919_AgI,36.2605,11.74
23120_Cs2NaYCl6,18.8901,9.88001
1087_SrS,49.1992,33.8139
1114632_Rb3ScBr6,14.6552,5.75971
865167_Ca2CdPb,79.2545,20.596999999999998
672221_Co21(B3W)2,223.782,122.523
989577_LiTl2GaF6,45.153999999999996,21.5358
1112016_K2ScInI6,12.7227,4.97187
18845_Ba2FeWO6,146.002,87.2282
1113611_K3YI6,9.53802,4.29932
996945_Cs2TlInH6,20.8994,13.9359
1112408_Rb2HgAsF6,10.3866,10.0894
867821_TaTiMn2,211.92,97.8503
1113291_Na2TlAsF6,41.799,14.9126
33018_Rb3Sb,11.4494,6.65373
864623_ZnCuAu2,136.621,38.7516
1111510_Na2CuBiCl6,32.2727,4.32538
996942_Ba6In2NF,26.9287,14.4267
865679_TiSnPd2,149.024,25.2364
867786_ScNbOs2,231.15,123.023
1113520_Cs2ScInBr6,17.6389,6.0849
1111893_Na3GaCl6,23.1253,10.444
865487_VZnRh2,215.317,64.3696
972810_SiTc2W,284.496,91.4642
21683_In2(Ni7P2)3,172.864,54.7855
1113301_Cs2GaHgCl6,24.7326,7.01885
862702_Sc2AgHg,85.6113,24.2098
977563_LiNbIr2,228.065,33.0969
979260_Sc6Ga16Ru7,125.05,57.3112
865001_HfScOs2,205.03799999999998,87.5203
1113887_Na2TlGaF6,49.8277,16.4841
998965_TiInFe2,172.49099999999999,78.89
989548_Rb2NaTlF6,45.0109,22.6264
989522_Mg6Bi2PN,61.8506,35.8579
866141_TiFe2Si,200.365,145.298
1114600_Rb2NaTlI6,12.0555,5.1494800000000005
11734_Sr2MgReO6,136.181,77.919
1113437_Rb2AgAsBr6,23.9877,8.81933
23657_Na6S2ClO8F,37.0156,27.927
1112599_Cs2KAuF6,34.1019,4.95779
1095079_K3AlF6,42.5248,15.3106
974822_Rb3P,13.0121,5.08676
1111586_Na2AlAgBr6,26.3477,7.44355
1057979_IN,94.2672,29.5122
12912_Ba2PrRuO6,141.775,66.1285
1114531_K2RbBiCl6,13.6702,6.602710000000001
862287_BeAlRh2,204.16099999999997,80.7849
867156_ScGaRu2,174.582,76.2584
1079705_Ba2LuTaO6,149.821,90.4203
1282_VC,312.289,166.648
1113322_Na3AsCl6,23.39,9.974219999999999
972241_Ti2ReTc,221.15400000000002,75.7875
1112579_Cs2LiAuF6,39.7353,12.6562
867339_CsK2Bi,11.0344,7.64619
643243_Cs2H6Pt,12.6332,5.81024
1113289_Na2HgSbF6,29.9414,7.30618
864933_Mg2AgRh,89.0312,35.8939
1112625_Cs2KAsCl6,16.3135,8.01994
24237_ScH2,100.525,53.6514
1112941_Cs2AgSbI6,17.7466,6.365530000000001
977324_Ga3(Ni10B3)2,201.024,76.495
977382_Ta2VRu,232.48,81.0088
989574_Cs2NaSrF6,30.6318,12.6252
605034_K2NiF6,37.1731,14.651
554941_KRb2BiF6,36.4669,16.6281
862485_GaCuRh2,228.054,74.92399999999999
12525_Sr2LiReO6,104.12200000000001,55.2843
20481_MnSnPd2,155.695,18.0581
1111666_K2LiMoCl6,26.4026,10.7464
571126_Ti2BRh6,231.248,125.223
3042_K2SiF6,30.1317,12.2325
672259_AlFe2Mo,238.912,84.8484
865507_VSiRu2,262.57099999999997,62.7694
1111193_K2ScTlBr6,16.7753,6.06217
973143_ScZn3,106.792,39.3654
1114678_Rb2TlHgF6,56.5209,14.6572
1114529_Rb2YInI6,12.6476,4.8919999999999995
1113585_Cs2LaAgCl6,22.081999999999997,5.19848
1112682_Cs2LiBiBr6,16.7164,6.982880000000001
1112513_Cs2RbSbF6,31.4157,10.7704
631386_Mg2NbFe,96.9303,23.3229
989537_Cs2TlInF6,39.7077,16.5432
980749_VFeRu2,263.152,56.9602
1112498_Cs2TlBiBr6,15.0062,6.687
1079027_Sr2ZrCoO6,156.711,92.6122
27827_Rb2TiCl6,10.6106,6.1724
1113476_Rb2HgAuF6,57.0356,12.882
1112573_Cs2LiYF6,34.8368,14.3597
1014005_Mn2SiRh,247.637,54.6386
867326_Al2RuRh,201.375,103.35
1110642_Cs2NaGaBr6,16.8203,9.17976
1114456_Rb2NaScF6,47.3396,27.0526
862446_TaAlRu2,243.96,130.46
1958_SrTe,32.7387,21.7871
1114367_Rb2NaPdF6,39.9964,17.0757
1114649_Rb2InGaBr6,16.984,7.47952
1111561_Li2CuAsF6,66.0838,9.5085
21075_HfC,253.63,168.99400000000003
972884_Sc2AlCu,76.3771,38.8314
1112075_K2YAgCl6,25.8939,7.10077
21865_FeCu2Sn,137.264,38.0418
18967_Ba2CoMoO6,138.406,59.8146
23285_CeBi,48.5757,30.776999999999997
1112410_Rb2YCuI6,18.1848,4.23747
1112525_Cs2RbAlCl6,15.8837,5.862080000000001
1114395_Rb2TlInBr6,16.1824,6.647819999999999
1114479_Rb2TlIrF6,40.4928,15.966
21467_TiCo2Sn,145.97899999999998,17.0271
865666_Li2TlAg,32.0013,31.2964
10760_MgSe,61.4281,41.9838
998987_Ti3Ge,130.06799999999998,42.0341
1112132_Cs2RbBiBr6,13.215,5.5802
1114580_Rb2LiTaI6,16.6322,7.430339999999999
550579_ScTa(PbO3)2,163.80100000000002,84.6851
1008610_AuN,179.71099999999998,33.1974
1112463_K2InAgF6,44.742,11.8565
3791_ScCo2Sn,149.882,67.7841
1113444_Cs2TlAgBr6,23.0273,9.161019999999999
1114584_Rb2LiYI6,13.061,6.23225
865165_HfScCo2,142.42700000000002,57.6188
1114340_Na2LiRhF6,59.2537,27.7422
996941_Cs2RbInBr6,13.1712,4.89339
1079855_LiPd7,143.16,34.1613
1114523_Rb2InBiCl6,15.933,7.175039999999999
865020_HfMgIr2,191.00099999999998,63.5774
4771_TiAlCu2,124.805,61.5577
989400_Rb2NaGaF6,46.9965,26.5369
2784_Na2Te,18.7805,11.8696
1112076_K2YAgI6,18.0341,5.5586199999999995
1113354_Cs2CuSbBr6,15.5764,6.10144
23036_K2SeBr6,12.4747,5.27027
1111151_K3YCl6,16.9074,8.16112
865871_Li2ZnAu,34.1087,6.01197
866106_Ba2HgPb,23.8084,17.0617
972237_Tc3H,241.362,41.6236
23301_BiF3,138.131,37.2481
864654_Zn2NiRh,153.674,70.6806
1113044_Cs2KLaCl6,14.4769,7.65412
1111243_K2LiYI6,10.9454,6.13552
862609_ScReTc2,237.988,89.3286
1112333_K2TlAuI6,17.8137,4.53544
1009822_SnC,138.964,36.9923
865866_LiZrPt2,143.142,53.0323
865840_Ti2TcIr,237.343,119.367
1112080_K2TaAgI6,20.666,5.84451
1111027_Na2LiTlF6,58.4727,22.5625
1113657_Rb2GaAuI6,20.6935,8.830960000000001
636599_FeSnRu2,215.262,47.9593
451_ZrB,167.101,53.0632
865174_HfCdRh2,172.085,24.8685
1112318_CsK2InCl6,13.9537,5.4534400000000005
5149_NbAlCo2,195.563,39.1849
973170_ScCdAu2,105.83200000000001,36.5508
1112055_CsK2SbCl6,15.4374,5.54483
582719_Ta6Ni16Ge7,101.81,90.906
1112535_Cs2NaSbF6,36.4776,18.4776
865989_Al2IrRu,216.437,121.66
1113433_Na3ScF6,52.6528,29.6686
1111937_K2HgAuF6,58.1052,11.0607
1114591_Rb2NaInI6,13.3533,4.431830000000001
865025_HfTaRe2,256.312,97.6712
866375_TiFe2Ge,214.895,118.84700000000001
865717_Ti2ReIr,242.94400000000002,131.475
30774_MgNi2Sn,117.90100000000001,49.4532
22905_LiCl,34.7475,21.2365
1138_LiF,39.9127,51.4896
1111128_K2NaInCl6,19.8855,9.00569
345_HfB,178.40099999999998,37.4695
1114662_Rb2NaScBr6,18.0553,6.9744600000000005
864761_Ta2MnOs,265.031,94.4411
977390_Ta3Ru,222.202,74.596
1112170_KInCl3,17.7907,7.194889999999999
600536_NaMoF6,28.2789,16.3389
977383_ZnPd2Au,140.785,36.7189
1112409_Rb2HgBiF6,30.8632,11.2776
1114130_Na2TlCuF6,41.2011,21.093000000000004
1113022_Cs2LiBiF6,37.1808,13.74
1112090_K2AgSbI6,18.2265,6.22564
1112418_K2SbAuBr6,26.0817,4.37236
1114595_Rb2NaSbBr6,14.3748,7.331869999999999
1112652_Cs3LaCl6,12.613,6.21199
3909_ZrAlCo2,184.045,70.3724
1112789_Cs2KBiBr6,14.134,6.24739
1113867_Rb2AlAgCl6,27.2426,10.2686
16524_ScAlPd2,135.387,38.9152
573697_CsCl,11.9989,7.13076
867273_Be2CuIr,141.594,76.6003
1112013_Cs2NaRuF6,39.4958,24.0634
867327_Hf2TcRu,197.342,70.9215
