ID_Name,B,G
27253_Au2O3,81.767,41.6559
1111194_K2YTlBr6,15.4525,5.719530000000001
1111589_K2TlAsBr6,16.9212,7.37372
2251_Li3N,47.9541,34.7205
1111167_K3SbI6,10.5796,4.00435
865895_GaGeRu2,224.542,56.0163
752658_Y2SeO2,110.67200000000001,63.5409
865768_Ti2MnOs,212.81400000000002,96.1968
1114542_K2RbMoBr6,17.1556,4.82634
1112138_Cs2NaTlBr6,15.0893,7.62955
979283_V3Cu,139.749,67.9896
865711_Li2TlAu,40.3569,34.8988
550579_ScTa(PbO3)2,163.80100000000002,84.6851
11869_HfSnPd,126.538,59.5679
10898_ScAlNi2,154.928,37.1046
1700_AlN,195.725,120.98899999999999
19282_Sr2ZnWO6,143.30100000000002,65.407
865037_CeMgAg2,45.6828,17.0997
10614_SrLiP,43.7157,28.8508
1007924_CrCu2Si,199.84099999999998,33.2663
972337_Ti2IrW,211.028,92.2071
13660_Ca4Sb2O,49.3988,33.0089
1009084_BeSnAs2,61.6465,42.0134
541044_CsYO2,79.7881,43.1487
550751_BaBeSiO4,90.5443,42.5074
5853_LiSi2N3,162.614,123.37299999999999
1811_HgTe,44.9709,5.49998
862695_Al2CoRu,189.17700000000002,106.384
1113402_CsRb2ScCl6,16.3221,7.69498
1114563_Rb2LiBiI6,14.5439,5.86035
865874_Li2AgHg,38.0785,11.8231
1114704_Rb2LiTiF6,53.2673,31.4725
9514_Mg(AlC)2,133.734,102.00299999999999
1114351_K2RbMoCl6,19.0597,9.762080000000001
28650_CsBr2F,17.0211,5.5417
1113433_Na3ScF6,52.6528,29.6686
33018_Rb3Sb,11.4494,6.65373
864654_Zn2NiRh,153.674,70.6806
14039_K2NaRhF6,49.8884,27.0945
2074_Li3Sb,32.9579,25.3133
561902_CsAg3S2,28.8467,9.70348
13926_Rb2NaYF6,42.9806,21.8012
865538_Ti2RePd,204.236,75.3643
11327_Rb2Se,13.5228,6.4633400000000005
1078205_KRb2InF6,38.6825,12.9405
1111195_K2TlSbBr6,16.0723,6.48415
1111000_Na3TlF6,51.7604,22.0155
1111110_K2LiScF6,53.7474,27.7302
5621_NbCu3S4,44.7711,21.7649
1112107_Cs2TlInI6,11.9632,5.3792800000000005
10748_TaCu3S4,24.6868,20.9757
1113396_CsRb2SbCl6,13.6023,6.3265199999999995
1112148_Cs2NaMoI6,14.5693,6.24495
865482_VTc2Ge,248.738,96.6053
1079529_NaTeO6,23.4983,6.32724
10381_K2CuSb,8.6656,6.56027
1114610_Rb2TlSbI6,12.2963,5.5399199999999995
1113394_CsRb2InBr6,12.9646,4.1186
1113280_Cs2AlInCl6,20.2077,8.38725
1114157_Na2CuBiF6,56.8453,6.705889999999999
542830_Mn23C6,316.885,127.45700000000001
1113594_Cs2GaAgI6,18.6134,7.363810000000001
4950_KCaF3,53.9291,28.1987
867300_Rb2Hf2O5,88.1763,47.4872
862300_Sc2GaOs,127.03299999999999,54.0292
1111269_K2TlInI6,12.4431,4.75596
1087_SrS,49.336999999999996,32.3107
672340_LiIn2Ru,96.9399,41.9074
34169_Zn(InSe2)2,33.8152,16.929000000000002
9573_NaBeAs,45.7815,33.7836
30350_Li2AgSn,38.2009,17.2821
568661_Cd(InSe2)2,25.8174,13.7609
1113292_Cs2TlHgCl6,25.831,5.34852
13925_Cs2NaYF6,31.3026,18.8446
3821_K2PtF6,36.9882,13.522
9575_LiBeSb,56.4755,45.8813
1190_ZnSe,52.8293,26.7847
32616_Ga2S3,34.1638,22.6896
1114679_Rb2YHgF6,33.3011,7.589119999999999
1112894_Cs2InAsCl6,19.5777,8.64119
980661_YTlAg2,72.608,11.3656
11020_GaAgO2,147.879,50.5346
864840_NbZnRu2,219.45,47.1495
23350_Rb2PtCl6,12.1964,5.58994
864684_Hf2MoIr,192.554,74.2142
492_TiN,296.52099999999996,218.907
21467_TiCo2Sn,145.97899999999998,17.0271
867341_CsAcTe2,35.611,17.767
864640_Ta2NbIr,240.475,109.48200000000001
21301_ScInNi2,137.19799999999998,48.4656
30080_Li2GePd,64.8757,16.7364
989531_Cs2KGaF6,39.4359,19.0313
1091394_Ba2NaIO6,82.5084,49.2444
862424_Sc2TcNi,112.21700000000001,59.2667
752676_TiBi2O5,27.735,37.946
1111684_KTlI3,12.3498,4.3301300000000005
1111254_K2LiMoI6,17.6725,6.49925
977360_AcF3,121.132,45.5505
623453_MnGa2Co,95.5483,78.7785
2730_HgTe,34.4956,13.4104
1113859_Rb2GaAgBr6,25.2113,9.74274
1113095_Cs2InGaI6,12.4642,6.9157399999999996
558781_ScTaO4,194.247,76.5494
267_Te2Ru,108.46700000000001,68.7771
1114047_Na2HgRhF6,58.6746,15.3823
29055_KSb2,22.0387,10.0834
1113378_Cs2AlCuCl6,32.0457,16.3042
7848_AlPO4,20.7402,24.885
30069_CuNi2Sb,152.6,28.3739
977382_Ta2VRu,232.48,81.0088
1112014_Cs2NaIrF6,37.3522,20.6112
1112941_Cs2AgSbI6,17.7466,6.365530000000001
1114333_Na3RhF6,52.2738,28.8871
1111058_KNa2RhF6,42.4436,21.4186
1111553_NaLi2AlF6,59.5136,34.1549
30459_ScNiBi,89.0344,53.2188
865518_YSnRh2,136.347,53.6849
1113034_Cs2KSbBr6,14.0007,6.2542800000000005
7089_KMgSb,22.3874,14.5007
697096_Na2H4Pt,25.0307,13.1872
1114518_Rb2YHgBr6,16.7887,4.18268
4175_ZnSnP2,62.4246,38.7921
997036_CdAuO2,107.87700000000001,30.2755
1100763_Pt3F,186.669,6.1276
1113712_Rb2AgPdF6,48.507,21.081
2653_BN,375.26800000000003,384.871
380_ZnSe,54.9637,27.1087
5046_BeSO4,35.0696,34.222
770932_LiSbO3,84.4882,41.379
1112129_Cs2RbBiCl6,13.7969,6.6353
841_Li2O2,71.8763,49.9945
1112004_Cs2RbTlCl6,13.8462,6.70834
1114378_Rb3TlCl6,15.5618,6.72835
1114432_Rb2LiYF6,37.0537,18.6238
23036_K2SeBr6,11.6871,5.064690000000001
6968_Cs2KCuF6,38.3188,17.3783
22503_ZrCo2Sn,161.082,39.9046
19833_InAgS2,54.2123,15.2015
1112934_Cs2YAgBr6,20.477,6.69623
1080738_Sn2MoOsO6,200.1,21.7232
865665_TiReTc2,276.015,85.194
1111912_K2RbIrF6,38.2022,18.1043
25013_Ba2MnMoO6,166.208,90.4788
568516_K3Bi,11.1954,7.514130000000001
961664_PdSnV,123.802,27.3116
1111297_K3YF6,35.1694,18.1494
546125_ScAsO4,157.668,70.6076
